dataset,condition,edge_set,repeat,edge_id,tf,positive_target,target,mode,match_distance,caliper_z,relaxed_bin,pos_target_mean_counts,neg_target_mean_counts,pos_target_detection_rate,neg_target_detection_rate,tf_mean_counts,tf_detection_rate,edge_id_original
GSE126030_T_cells,bone_marrow,trrust,0,393,JUN,TXN,LGALS1,Unknown,0.1878679395184056,0.25,0,1.0376506,1.2115495,0.3969992498124654,0.398049512378107,0.08762201,0.0730682670667663,403
GSE126030_T_cells,bone_marrow,trrust,0,1207,ZNF224,ALDOA,TMSB4XP4,Repression,0.22175200244763,0.25,0,2.8526914,2.9714966,0.7941485371343515,0.8076519129783144,0.067516744,0.064516129032258,1227
GSE126030_T_cells,bone_marrow,trrust,0,65,CEBPB,GNLY,CCL4,Unknown,0.1649360422737321,0.25,0,1.6927316,1.5488373,0.1825956489122227,0.1783945986496573,0.29137242,0.2298574643660841,65
GSE126030_T_cells,bone_marrow,trrust,0,547,NFKB1,MIF,CD7,Unknown,0.21412114392459064,0.25,0,1.8064451,1.6330309,0.6414103525881936,0.6492123030758166,0.13788496,0.1135783945986474,561
GSE126030_T_cells,bone_marrow,trrust,0,453,MYC,HLA-B,MT-ND2,Activation,0.1598646216484302,0.25,0,10.132991,10.251244,0.9674418604652084,0.974643660915322,0.45221072,0.2238559639909906,465
GSE126030_T_cells,bone_marrow,trrust,0,265,HIF1A,ALDOA,TMSB4XP4,Activation,0.22175200244763,0.25,0,2.8526914,2.9714966,0.7941485371343515,0.8076519129783144,0.23646112,0.1845461365341281,270
GSE126030_T_cells,bone_marrow,trrust,0,12,ATF1,FTH1,ENSG00000283041,Activation,0.037724723548857496,0.25,0,5.109743,5.143955,0.9440360090023396,0.944636159039849,0.095874146,0.0915228807201788,12
GSE126030_T_cells,bone_marrow,trrust,0,279,HIF1A,MIF,CD7,Activation,0.21412114392459064,0.25,0,1.8064451,1.6330309,0.6414103525881936,0.6492123030758166,0.23646112,0.1845461365341281,285
GSE126030_T_cells,bone_marrow,trrust,0,686,RELA,CCL4,GNLY,Unknown,0.1649360422737321,0.25,0,1.5488373,1.6927316,0.1783945986496573,0.1825956489122227,0.124831796,0.1174793698424582,702
GSE126030_T_cells,bone_marrow,trrust,0,293,HIVEP2,HLA-B,MT-ND2,Unknown,0.1598646216484302,0.25,0,10.132991,10.251244,0.9674418604652084,0.974643660915322,0.06376576,0.0606151537884471,299
GSE126030_T_cells,bone_marrow,trrust,0,876,SP1,MIF,CD7,Activation,0.21412114392459064,0.25,0,1.8064451,1.6330309,0.6414103525881936,0.6492123030758166,0.055363677,0.053563390847712,894
GSE126030_T_cells,bone_marrow,trrust,0,228,HBP1,MIF,CD7,Repression,0.21412114392459064,0.25,0,1.8064451,1.6330309,0.6414103525881936,0.6492123030758166,0.09062281,0.0846211552888213,233
GSE126030_T_cells,bone_marrow,trrust,0,402,KHSRP,RPL3,RPS28,Unknown,0.11863596948875875,0.25,0,22.225716,22.115734,0.9995498874719648,1.0000000000000968,0.0748687,0.0693173293323328,413
GSE126030_T_cells,bone_marrow,trrust,0,99,CREM,CCL4,GNLY,Repression,0.1649360422737321,0.25,0,1.5488373,1.6927316,0.1783945986496573,0.1825956489122227,0.3632389,0.2298574643660841,102
GSE126030_T_cells,bone_marrow,trrust,0,510,NFKB1,CCL4,GNLY,Unknown,0.1649360422737321,0.25,0,1.5488373,1.6927316,0.1783945986496573,0.1825956489122227,0.13788496,0.1135783945986474,523
GSE126030_T_cells,bone_marrow,trrust,0,723,RELA,MIF,CD7,Unknown,0.21412114392459064,0.25,0,1.8064451,1.6330309,0.6414103525881936,0.6492123030758166,0.124831796,0.1174793698424582,740
GSE126030_T_cells,bone_marrow,trrust,0,1200,ZBTB7A,PKM,HSPA8,Repression,0.25363532065651023,0.25,0,2.2561343,2.0442882,0.6817704426107049,0.69002250562646,0.15018845,0.135183795948984,1220
GSE126030_T_cells,bone_marrow,trrust,0,606,NPM1,RPL3,RPS28,Unknown,0.11863596948875875,0.25,0,22.225716,22.115734,0.9995498874719648,1.0000000000000968,4.133282,0.9063765941486208,621
GSE126030_T_cells,bone_marrow,trrust,0,923,SP1,VIM,RPS26,Activation,0.008433714017041048,0.25,0,2.6041772,2.6018379,0.7396849212303679,0.7402850712678773,0.055363677,0.053563390847712,941
GSE126030_T_cells,bone_marrow,trrust,0,454,MYC,HLA-C,PABPC1,Activation,0.16581944105570834,0.25,0,5.7816443,5.6328025,0.9275318829708292,0.930682670667754,0.45221072,0.2238559639909906,466
GSE126030_T_cells,bone_marrow,trrust,0,866,SP1,LDHA,CD52,Activation,0.08127868994248633,0.25,0,2.6508853,2.7257526,0.7291822955739523,0.7299324831208391,0.055363677,0.053563390847712,884
GSE126030_T_cells,bone_marrow,trrust,0,274,HIF1A,ENO1,TPI1,Activation,0.12142932818798495,0.25,0,4.0055604,3.9818559,0.7920480120030684,0.7831957989498038,0.23646112,0.1845461365341281,279
GSE126030_T_cells,bone_marrow,trrust,0,486,NFAT5,LTB,ENO1,Unknown,0.24788996872864258,0.25,0,3.9394155,4.0055604,0.7743435858965393,0.7920480120030684,0.0594147,0.0561140285071268,498
GSE126030_T_cells,bone_marrow,trrust,0,376,JUN,LDHA,CD52,Activation,0.08127868994248633,0.25,0,2.6508853,2.7257526,0.7291822955739523,0.7299324831208391,0.08762201,0.0730682670667663,386
GSE126030_T_cells,bone_marrow,trrust,0,294,HIVEP2,HLA-C,EEF1B2,Unknown,0.22560497151624817,0.25,0,5.7816443,5.5766783,0.9275318829708292,0.92408102025515,0.06376576,0.0606151537884471,300
GSE126030_T_cells,bone_marrow,trrust,0,278,HIF1A,LDHA,CD52,Activation,0.08127868994248633,0.25,0,2.6508853,2.7257526,0.7291822955739523,0.7299324831208391,0.23646112,0.1845461365341281,284
GSE126030_T_cells,bone_marrow,trrust,0,457,MYC,HNRNPA1,GAS5,Activation,0.09792290522297564,0.25,0,3.8808959,3.8658977,0.8762190547637704,0.8834208552138839,0.45221072,0.2238559639909906,469
GSE126030_T_cells,bone_marrow,trrust,0,290,HIF1A,VIM,RPS26,Activation,0.008433714017041048,0.25,0,2.6041772,2.6018379,0.7396849212303679,0.7402850712678773,0.23646112,0.1845461365341281,296
GSE126030_T_cells,bone_marrow,trrust,0,898,SP1,RPS3A,RPS15,Unknown,0.025259642726587407,0.25,0,18.538553,18.519089,0.9984996249063232,0.9995498874719648,0.055363677,0.053563390847712,916
GSE126030_T_cells,bone_marrow,trrust,0,264,HDGF,VIM,RPS26,Activation,0.008433714017041048,0.25,0,2.6041772,2.6018379,0.7396849212303679,0.7402850712678773,0.113578744,0.1002250562640644,269
GSE126030_T_cells,bone_marrow,trrust,0,627,PARP1,VIM,RPS26,Activation,0.008433714017041048,0.25,0,2.6041772,2.6018379,0.7396849212303679,0.7402850712678773,0.18904866,0.1600900225056221,642
GSE126030_T_cells,bone_marrow,trrust,0,962,STAT1,HSP90AA1,HSP90AB1,Repression,0.12067693331491744,0.25,0,1.3729912,1.4529577,0.5227306826706976,0.5290322580645469,0.9749255,0.423105776444127,980
GSE126030_T_cells,bone_marrow,trrust,0,465,MYC,LDHA,VIM,Activation,0.14956520827713568,0.25,0,2.6508853,2.6041772,0.7291822955739523,0.7396849212303679,0.45221072,0.2238559639909906,477
GSE126030_T_cells,bone_marrow,trrust,0,1202,ZEB2,VIM,RPS26,Activation,0.008433714017041048,0.25,0,2.6041772,2.6018379,0.7396849212303679,0.7402850712678773,0.06286558,0.0519129782445612,1222
GSE126030_T_cells,bone_marrow,trrust,0,13,ATF1,LDHA,VIM,Unknown,0.14956520827713568,0.25,0,2.6508853,2.6041772,0.7291822955739523,0.7396849212303679,0.095874146,0.0915228807201788,13
GSE126030_T_cells,bone_marrow,trrust,0,311,HSF1,LDHA,RPS26,Activation,0.15799263979593287,0.25,0,2.6508853,2.6018379,0.7291822955739523,0.7402850712678773,0.125282,0.1164291072768168,317
GSE126030_T_cells,bone_marrow,trrust,0,119,CTNNB1,VIM,RPS26,Activation,0.008433714017041048,0.25,0,2.6041772,2.6018379,0.7396849212303679,0.7402850712678773,0.17164403,0.1459864966241524,122
GSE126030_T_cells,bone_marrow,trrust,0,1206,ZNF148,VIM,RPS26,Repression,0.008433714017041048,0.25,0,2.6041772,2.6018379,0.7396849212303679,0.7402850712678773,0.10472656,0.097824456114027,1226
GSE126030_T_cells,bone_marrow,trrust,0,764,RORA,TUBA1B,MT-RNR1,Unknown,0.17050835497661038,0.25,0,2.1649122,2.0253787,0.7083270817704985,0.7143285821455931,0.27786997,0.2226556639159719,781
GSE126030_T_cells,bone_marrow,trrust,0,1092,TP53,HSP90AB1,PSME2,Repression,0.04940975113880376,0.25,0,1.4529577,1.4089957,0.5290322580645469,0.5279819954989053,0.09647435,0.088522130532632,1111
GSE126030_T_cells,bone_marrow,trrust,0,986,STAT2,STAT1,RPS10P3,Unknown,0.1321484088283231,0.25,0,0.9749255,0.85595363,0.423105776444127,0.4255063765941648,0.07291819,0.0691672918229555,1004
GSE126030_T_cells,bone_marrow,trrust,0,1167,YY1,COX7C,RPL3P4,Activation,0.22537174047936112,0.25,0,4.014299,4.2232933,0.9326331582896598,0.9318829707427728,0.23045948,0.1986496624155979,1187
GSE126030_T_cells,bone_marrow,trrust,0,743,RELA,STAT1,SERBP1,Unknown,0.20115478230721978,0.25,0,0.9749255,0.8269897,0.423105776444127,0.4322580645161463,0.124831796,0.1174793698424582,760
GSE126030_T_cells,bone_marrow,trrust,0,282,HIF1A,PGK1,POLR2L,Activation,0.17839168873185815,0.25,0,1.3230307,1.1708868,0.5441860465116608,0.5494373593398686,0.23646112,0.1845461365341281,288
GSE126030_T_cells,bone_marrow,trrust,0,452,MYC,HLA-A,RPSA,Activation,0.009783228012979489,0.25,0,8.575667,8.5673895,0.9740435108778126,0.973743435859058,0.45221072,0.2238559639909906,464
GSE126030_T_cells,bone_marrow,trrust,0,1117,TP53,STAT1,NFKBIA,Unknown,0.08630860910782234,0.25,0,0.9749255,0.89480895,0.423105776444127,0.423105776444127,0.09647435,0.088522130532632,1136
GSE126030_T_cells,bone_marrow,trrust,0,759,REST,STAT1,ISG15,Repression,0.20395925868284892,0.25,0,0.9749255,0.8843032,0.423105776444127,0.4364591147787125,0.0915231,0.086271567891972,776
GSE126030_T_cells,bone_marrow,trrust,0,739,RELA,S100A6,EEF2,Activation,0.13027910351716732,0.25,0,3.4018254,3.2880878,0.883870967742016,0.887171792948318,0.124831796,0.1174793698424582,756
GSE126030_T_cells,bone_marrow,trrust,0,226,GTF3A,STAT1,NFKBIA,Unknown,0.08630860910782234,0.25,0,0.9749255,0.89480895,0.423105776444127,0.423105776444127,0.91850466,0.53113278319583,231
GSE126030_T_cells,bone_marrow,trrust,0,1050,STAT6,STAT1,ISG15,Repression,0.20395925868284892,0.25,0,0.9749255,0.8843032,0.423105776444127,0.4364591147787125,0.13308394,0.120930232558137,1069
GSE126030_T_cells,bone_marrow,trrust,0,590,NFKBIA,S100A6,RPL32P18,Repression,0.13816869558431044,0.25,0,3.4018254,3.3664157,0.883870967742016,0.8937734433609221,0.89480895,0.423105776444127,605
GSE126030_T_cells,bone_marrow,trrust,0,472,MYC,PGK1,RPS2P46,Unknown,0.09551084863657142,0.25,0,1.3230307,1.2501112,0.5441860465116608,0.5482370592648497,0.45221072,0.2238559639909906,484
GSE126030_T_cells,bone_marrow,trrust,0,631,PIAS1,STAT1,NFKBIA,Unknown,0.08630860910782234,0.25,0,0.9749255,0.89480895,0.423105776444127,0.423105776444127,0.094823934,0.0894223555888961,646
GSE126030_T_cells,bone_marrow,trrust,0,564,NFKB1,S100A6,HINT1,Activation,0.18845423114795348,0.25,0,3.4018254,3.2427785,0.883870967742016,0.8897224306077333,0.13788496,0.1135783945986474,578
GSE126030_T_cells,bone_marrow,trrust,0,1023,STAT3,STAT1,ISG15,Activation,0.20395925868284892,0.25,0,0.9749255,0.8843032,0.423105776444127,0.4364591147787125,0.30202457,0.2427606901725351,1041
GSE126030_T_cells,bone_marrow,trrust,0,619,NR3C1,STAT1,NFKBIA,Repression,0.08630860910782234,0.25,0,0.9749255,0.89480895,0.423105776444127,0.423105776444127,0.21005414,0.1740435108777145,634
GSE126030_T_cells,bone_marrow,trrust,0,455,MYC,HLA-E,SRP14,Activation,0.07663563155186769,0.25,0,1.9970295,1.9265076,0.7695423855964636,0.7687921980495768,0.45221072,0.2238559639909906,467
GSE126030_T_cells,bone_marrow,trrust,0,712,RELA,HLA-A,RPL5,Activation,0.1020927165187151,0.25,0,8.575667,8.508884,0.9740435108778126,0.9794448612153978,0.124831796,0.1174793698424582,729
GSE126030_T_cells,bone_marrow,trrust,0,292,HIVEP2,HLA-A,RPSA,Unknown,0.009783228012979489,0.25,0,8.575667,8.5673895,0.9740435108778126,0.973743435859058,0.06376576,0.0606151537884471,298
GSE126030_T_cells,bone_marrow,trrust,0,336,IRF1,HLA-A,RPSA,Activation,0.009783228012979489,0.25,0,8.575667,8.5673895,0.9740435108778126,0.973743435859058,1.0218875,0.509377344336112,343
GSE126030_T_cells,bone_marrow,trrust,0,961,STAT1,HLA-E,SRP14,Unknown,0.07663563155186769,0.25,0,1.9970295,1.9265076,0.7695423855964636,0.7687921980495768,0.9749255,0.423105776444127,979
GSE126030_T_cells,bone_marrow,trrust,0,295,HIVEP2,HLA-E,RPS27AP16,Unknown,0.20793880500036396,0.25,0,1.9970295,1.8682901,0.7695423855964636,0.7810952738185207,0.06376576,0.0606151537884471,301
GSE126030_T_cells,bone_marrow,trrust,0,436,MTA1,SUMO2,ARHGDIB,Activation,0.1426183248266121,0.25,0,1.6645343,1.6342428,0.7305326331583486,0.7201800450113104,0.05701409,0.0546136534133534,448
GSE126030_T_cells,bone_marrow,trrust,0,800,SFPQ,NEAT1,SUB1,Unknown,0.07372318020767411,0.25,0,2.001201,1.9884666,0.7437359339835568,0.7383345836459716,0.4292519,0.2874718679669887,817
GSE126030_T_cells,bone_marrow,trrust,0,105,CREM,GPX4,MTATP6P1,Unknown,0.06441219102057831,0.25,0,1.4098926,1.4115599,0.674868717179346,0.6796699174794217,0.3632389,0.2298574643660841,108
GSE126030_T_cells,bone_marrow,trrust,0,317,HSF1,UBB,ATP5ME,Unknown,0.15246606533683535,0.25,0,1.4949795,1.4085411,0.6565641410353075,0.6475618904726655,0.125282,0.1164291072768168,323
GSE126030_T_cells,bone_marrow,trrust,0,972,STAT1,S100A10,DDX5,Activation,0.018590440123723066,0.25,0,1.6274843,1.6313866,0.7207801950488198,0.7221305326332161,0.9749255,0.423105776444127,990
GSE126030_T_cells,bone_marrow,trrust,0,1012,STAT3,NME1,HBB,Activation,0.1556538042688316,0.25,0,0.5062251,0.6423067,0.1854463615903921,0.1815453863465814,0.30202457,0.2427606901725351,1030
GSE126030_T_cells,bone_marrow,trrust,0,495,NFIC,HMGB1,PTP4A2,Activation,0.06820781624826998,0.25,0,1.1284206,1.17659,0.6238559639910418,0.6205551387847398,0.06661653,0.0616654163540886,507
GSE126030_T_cells,bone_marrow,trrust,0,1106,TP53,NME1,LINC01943,Unknown,0.09740702535912713,0.25,0,0.5062251,0.41650352,0.1854463615903921,0.1863465866466562,0.09647435,0.088522130532632,1125
GSE126030_T_cells,bone_marrow,trrust,0,616,NR3C1,PNRC1,HMGB1,Unknown,0.05711390152974461,0.25,0,1.1197156,1.1284206,0.6196549137284756,0.6238559639910418,0.21005414,0.1740435108777145,631
GSE126030_T_cells,bone_marrow,trrust,0,167,ESRRA,PNRC1,RPS27P4,Unknown,0.060834446612154765,0.25,0,1.1197156,1.1756892,0.6196549137284756,0.620255063765985,0.081170335,0.0720180045011249,172
GSE126030_T_cells,bone_marrow,trrust,0,693,RELA,CD74,SNHG8,Unknown,0.17159384876278297,0.25,0,1.332628,1.177787,0.613653413353381,0.6166541635409283,0.124831796,0.1174793698424582,710
GSE126030_T_cells,bone_marrow,trrust,0,518,NFKB1,CD74,HNRNPA1L3,Unknown,0.17911165052465544,0.25,0,1.332628,1.4519312,0.613653413353381,0.6229557389347776,0.13788496,0.1135783945986474,532
GSE126030_T_cells,bone_marrow,trrust,0,728,RELA,NFKBIA,RPS10P3,Activation,0.05280671954577063,0.25,0,0.89480895,0.85595363,0.423105776444127,0.4255063765941648,0.124831796,0.1174793698424582,745
GSE126030_T_cells,bone_marrow,trrust,0,904,SP1,SOD1,PCED1B-AS1,Activation,0.05025200884027038,0.25,0,1.2381024,1.1945897,0.601350337584437,0.6027006751688333,0.055363677,0.053563390847712,922
GSE126030_T_cells,bone_marrow,trrust,0,864,SP1,ISG20,IFITM2,Unknown,0.09774385701066696,0.25,0,1.2583594,1.272315,0.5881470367592289,0.5953488372093424,0.055363677,0.053563390847712,882
GSE126030_T_cells,bone_marrow,trrust,0,532,NFKB1,GSTP1,MTCO1P12,Activation,0.09434499168716966,0.25,0,1.0215896,0.9407233,0.5017254313578664,0.4990247561890739,0.13788496,0.1135783945986474,546
GSE126030_T_cells,bone_marrow,trrust,0,920,SP1,UBC,ATP5MJ,Unknown,0.04694819191863919,0.25,0,1.286732,1.2940679,0.6315078769692875,0.6349587396849669,0.055363677,0.053563390847712,938
GSE126030_T_cells,bone_marrow,trrust,0,707,RELA,GSTP1,CYTIP,Activation,0.1578931637501809,0.25,0,1.0215896,1.0703602,0.5017254313578664,0.5128282070517914,0.124831796,0.1174793698424582,724
GSE126030_T_cells,bone_marrow,trrust,0,944,SP3,UBC,SNHG25,Unknown,0.1289277777698059,0.25,0,1.286732,1.1932371,0.6315078769692875,0.6375093773443821,0.08237064,0.0778694673668411,962
GSE126030_T_cells,bone_marrow,trrust,0,552,NFKB1,NFKBIA,RPS10P3,Activation,0.05280671954577063,0.25,0,0.89480895,0.85595363,0.423105776444127,0.4255063765941648,0.13788496,0.1135783945986474,566
GSE126030_T_cells,bone_marrow,trrust,0,493,NFE2L2,SOD1,IFITM2,Activation,0.0885216839170066,0.25,0,1.2381024,1.272315,0.601350337584437,0.5953488372093424,0.20195203,0.1746436609152238,505
GSE126030_T_cells,bone_marrow,trrust,0,1089,TP53,GSTP1,MTCO1P12,Activation,0.09434499168716966,0.25,0,1.0215896,0.9407233,0.5017254313578664,0.4990247561890739,0.09647435,0.088522130532632,1108
GSE126030_T_cells,bone_marrow,trrust,0,857,SP1,GSTP1,IRF1,Activation,0.10261751059486268,0.25,0,1.0215896,1.0218875,0.5017254313578664,0.509377344336112,0.055363677,0.053563390847712,875
GSE126030_T_cells,bone_marrow,trrust,0,203,FOS,GSTP1,IRF1,Unknown,0.10261751059486268,0.25,0,1.0215896,1.0218875,0.5017254313578664,0.509377344336112,0.066316456,0.0564141035258815,208
GSE126030_T_cells,bone_marrow,trrust,0,374,JUN,GSTP1,IRF1,Unknown,0.10261751059486268,0.25,0,1.0215896,1.0218875,0.5017254313578664,0.509377344336112,0.08762201,0.0730682670667663,384
GSE126030_T_cells,bone_marrow,trrust,0,458,MYC,HNRNPA2B1,GIMAP7,Activation,0.09073658980462432,0.25,0,1.013934,1.0323864,0.5480870217554723,0.5546886721680764,0.45221072,0.2238559639909906,470
GSE126030_T_cells,bone_marrow,trrust,0,1019,STAT3,S100A11,SEC61G,Activation,0.06969398257339268,0.25,0,1.0838586,1.1086197,0.5302325581395658,0.5254313578394901,0.30202457,0.2427606901725351,1037
GSE126030_T_cells,bone_marrow,trrust,0,796,SERTAD1,SET,SEC61G,Activation,0.0744428488187926,0.25,0,1.0634518,1.1086197,0.5212303075769239,0.5254313578394901,0.08732187,0.0795198799699918,813
GSE126030_T_cells,bone_marrow,trrust,0,297,HMGA1,CD44,COX5B,Activation,0.07516606637281642,0.25,0,1.005074,1.0672042,0.5774943735934359,0.5800450112528511,0.47921208,0.3152288072018013,303
GSE126030_T_cells,bone_marrow,trrust,0,1129,USF2,CD2,H2AZ1,Activation,0.006771862872718867,0.25,0,1.0542984,1.0571476,0.5501875468867554,0.5506376594148875,0.13293387,0.1230307576894197,1149
GSE126030_T_cells,bone_marrow,trrust,0,812,SMARCB1,CD44,CLEC2D,Repression,0.02803288250898117,0.25,0,1.005074,0.98376983,0.5774943735934359,0.576294073518417,0.11958024,0.1063765941485352,829
GSE126030_T_cells,bone_marrow,trrust,0,810,SMARCA4,CD44,CLEC2D,Repression,0.02803288250898117,0.25,0,1.005074,0.98376983,0.5774943735934359,0.576294073518417,0.085971564,0.0790697674418598,827
GSE126030_T_cells,bone_marrow,trrust,0,45,BATF,CD2,GIMAP7,Unknown,0.06481440195667378,0.25,0,1.0542984,1.0323864,0.5501875468867554,0.5546886721680764,0.37569186,0.2354088522130456,45
GSE126030_T_cells,bone_marrow,trrust,0,1166,YY1,COX6A1,HMGN1,Unknown,0.06628251199673374,0.25,0,1.1861911,1.1359292,0.5705926481620771,0.5677419354839072,0.23045948,0.1986496624155979,1186
GSE126030_T_cells,bone_marrow,trrust,0,233,HDAC1,CD44,COX5B,Repression,0.07516606637281642,0.25,0,1.005074,1.0672042,0.5774943735934359,0.5800450112528511,0.18409736,0.1597899474868674,238
GSE126030_T_cells,bone_marrow,trrust,0,113,CTNNB1,CD44,COX5B,Unknown,0.07516606637281642,0.25,0,1.005074,1.0672042,0.5774943735934359,0.5800450112528511,0.17164403,0.1459864966241524,116
GSE126030_T_cells,bone_marrow,trrust,0,832,SP1,CD44,COX5B,Activation,0.07516606637281642,0.25,0,1.005074,1.0672042,0.5774943735934359,0.5800450112528511,0.055363677,0.053563390847712,850
GSE126030_T_cells,bone_marrow,trrust,0,179,ETS1,LCK,ERP29,Activation,0.044690337140428214,0.25,0,0.77972126,0.7854233,0.5057764441110553,0.5090772693173573,0.39564312,0.3086271567891972,184
GSE126030_T_cells,bone_marrow,trrust,0,141,DNMT1,RGS10,SNHG32,Unknown,0.05413747491499892,0.25,0,0.93966055,0.8895461,0.5245311327832259,0.5248312078019807,0.14448693,0.1272318079519852,145
GSE126030_T_cells,bone_marrow,trrust,0,447,MYC,CXCR4,ARF6,Activation,0.09994871700023117,0.25,0,0.9659182,0.92285895,0.5192798199550182,0.5258814703676222,0.45221072,0.2238559639909906,459
GSE126030_T_cells,bone_marrow,trrust,0,539,NFKB1,IRF1,CYTIP,Activation,0.06977469435427686,0.25,0,1.0218875,1.0703602,0.509377344336112,0.5128282070517914,0.13788496,0.1135783945986474,553
GSE126030_T_cells,bone_marrow,trrust,0,715,RELA,IRF1,RAN,Activation,0.16206025983701589,0.25,0,1.0218875,1.1696892,0.509377344336112,0.5071267816954516,0.124831796,0.1174793698424582,732
GSE126030_T_cells,bone_marrow,trrust,0,245,HDAC1,RGS10,ARF6,Unknown,0.02560366434123065,0.25,0,0.93966055,0.92285895,0.5245311327832259,0.5258814703676222,0.18409736,0.1597899474868674,250
GSE126030_T_cells,bone_marrow,trrust,0,526,NFKB1,CXCR4,LY6E,Activation,0.06176061649387256,0.25,0,0.9659182,1.0217372,0.5192798199550182,0.5203300825206597,0.13788496,0.1135783945986474,540
GSE126030_T_cells,bone_marrow,trrust,0,701,RELA,CXCR4,RPL6P27,Activation,0.10652979426658252,0.25,0,0.9659182,0.8787497,0.5192798199550182,0.5230307576894523,0.124831796,0.1174793698424582,718
GSE126030_T_cells,bone_marrow,trrust,0,971,STAT1,PSMB9,HMGN1,Unknown,0.010386363122878823,0.25,0,1.1383253,1.1359292,0.568492123030794,0.5677419354839072,0.9749255,0.423105776444127,989
GSE126030_T_cells,bone_marrow,trrust,0,1148,XBP1,ERP29,MORF4L1,Repression,0.046645530893155984,0.25,0,0.7854233,0.7717709,0.5090772693173573,0.5123780945236593,0.4946657,0.3230307576894243,1168
GSE126030_T_cells,bone_marrow,trrust,0,735,RELA,PSMB9,COX6A1,Unknown,0.05875788954406936,0.25,0,1.1383253,1.1861911,0.568492123030794,0.5705926481620771,0.124831796,0.1174793698424582,752
GSE126030_T_cells,bone_marrow,trrust,0,560,NFKB1,PSMB9,ZFP36L2,Unknown,0.044594458088159816,0.25,0,1.1383253,1.1596377,0.568492123030794,0.565641410352624,0.13788496,0.1135783945986474,574
GSE126030_T_cells,bone_marrow,trrust,0,176,ETS1,CXCR4,LY6E,Unknown,0.06176061649387256,0.25,0,0.9659182,1.0217372,0.5192798199550182,0.5203300825206597,0.39564312,0.3086271567891972,181
GSE126030_T_cells,bone_marrow,trrust,0,89,CREB1,UXT,CALM1,Activation,0.06097722763425964,0.25,0,1.0284866,1.0850583,0.5866466616654552,0.5864966241560778,0.13008304,0.1167291822955715,91
GSE126030_T_cells,bone_marrow,trrust,0,94,CREBBP,IRF1,CXCR4,Activation,0.14584557393182235,0.25,0,1.0218875,0.9659182,0.509377344336112,0.5192798199550182,0.06586632,0.0628657164291073,96
GSE126030_T_cells,bone_marrow,trrust,0,964,STAT1,IRF1,CYTIP,Activation,0.06977469435427686,0.25,0,1.0218875,1.0703602,0.509377344336112,0.5128282070517914,0.9749255,0.423105776444127,982
GSE126030_T_cells,bone_marrow,trrust,0,1031,STAT4,IRF1,GSTP1,Unknown,0.10261751059486268,0.25,0,1.0218875,1.0215896,0.509377344336112,0.5017254313578664,0.14988832,0.1330832708177013,1049
GSE126030_T_cells,bone_marrow,trrust,0,1006,STAT3,IRF1,LY6E,Activation,0.14688325865638638,0.25,0,1.0218875,1.0217372,0.509377344336112,0.5203300825206597,0.30202457,0.2427606901725351,1024
GSE126030_T_cells,bone_marrow,trrust,0,818,SP1,ARF6,SNHG32,Activation,0.038552481369052864,0.25,0,0.92285895,0.8895461,0.5258814703676222,0.5248312078019807,0.055363677,0.053563390847712,835
GSE126030_T_cells,bone_marrow,trrust,0,339,IRF1,PSMB9,ZFP36L2,Activation,0.044594458088159816,0.25,0,1.1383253,1.1596377,0.568492123030794,0.565641410352624,1.0218875,0.509377344336112,346
GSE126030_T_cells,bone_marrow,trrust,0,984,STAT2,IRF1,CYTIP,Activation,0.06977469435427686,0.25,0,1.0218875,1.0703602,0.509377344336112,0.5128282070517914,0.07291819,0.0691672918229555,1002
GSE126030_T_cells,bone_marrow,trrust,0,136,DNMT1,CXCR4,RPL6P27,Repression,0.10652979426658252,0.25,0,0.9659182,0.8787497,0.5192798199550182,0.5230307576894523,0.14448693,0.1272318079519852,139
GSE126030_T_cells,bone_marrow,trrust,0,256,HDAC3,CXCR4,RGS10,Repression,0.07589214722127315,0.25,0,0.9659182,0.93966055,0.5192798199550182,0.5245311327832259,0.11612945,0.1065266316579126,261
GSE126030_T_cells,bone_marrow,trrust,0,272,HIF1A,CXCR4,RGS10,Activation,0.07589214722127315,0.25,0,0.9659182,0.93966055,0.5192798199550182,0.5245311327832259,0.23646112,0.1845461365341281,277
GSE126030_T_cells,bone_marrow,trrust,0,1158,YBX1,CXCR4,LY6E,Activation,0.06176061649387256,0.25,0,0.9659182,1.0217372,0.5192798199550182,0.5203300825206597,2.7400098,0.7725431357840109,1178
GSE126030_T_cells,bone_marrow,trrust,0,79,CREB1,CXCR4,LY6E,Unknown,0.06176061649387256,0.25,0,0.9659182,1.0217372,0.5192798199550182,0.5203300825206597,0.13008304,0.1167291822955715,81
GSE126030_T_cells,bone_marrow,trrust,0,1170,YY1,CXCR4,RPL6P27,Repression,0.10652979426658252,0.25,0,0.9659182,0.8787497,0.5192798199550182,0.5230307576894523,0.23045948,0.1986496624155979,1190
GSE126030_T_cells,bone_marrow,trrust,0,91,CREB3,CXCR4,LY6E,Activation,0.06176061649387256,0.25,0,0.9659182,1.0217372,0.5192798199550182,0.5203300825206597,0.09572405,0.0882220555138774,93
GSE126030_T_cells,bone_marrow,trrust,0,1132,USF2,CXCR4,LY6E,Activation,0.06176061649387256,0.25,0,0.9659182,1.0217372,0.5192798199550182,0.5203300825206597,0.13293387,0.1230307576894197,1152
